round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Rafael Nadal,7-5 3-6 7-6(3) 3-6 6-2,2009,m,Rafael Nadal,Roger Federer,ESP,SUI,64%,52%,4,11,4,6,66%,73%,48%,45%,196,204,179,183,143,156,44%,32%,40%,41%,173,174,50,71,41,64,58%,72%
semi,Rafael Nadal,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,2009,m,Rafael Nadal,Fernando Verdasco,ESP,ESP,74%,69%,12,20,3,4,72%,71%,62%,55%,200,220,182,188,143,158,20%,50%,34%,31%,193,192,52,95,25,76,70%,65%
semi,Roger Federer,6-2 7-5 7-5,2009,m,Roger Federer,Andy Roddick,SUI,USA,66%,65%,16,8,0,2,83%,70%,58%,52%,208,224,188,206,156,172,31%,0%,36%,26%,105,85,51,38,15,18,63%,50%
quarter,Rafael Nadal,6-2 7-5 7-5,2009,m,Rafael Nadal,Gilles Simon,ESP,FRA,67%,55%,5,4,2,4,73%,71%,58%,38%,203,203,183,182,140,135,58%,43%,44%,32%,105,83,29,42,24,41,87%,66%
quarter,Fernando Verdasco,7-6(2) 3-6 6-3 6-2,2009,m,Fernando Verdasco,Jo-Wilfried Tsonga,ESP,FRA,78%,65%,7,9,3,3,69%,72%,59%,49%,216,216,174,185,154,150,100%,15%,36%,33%,129,114,36,46,29,40,70%,61%
quarter,Roger Federer,6-3 6-0 6-0,2009,m,Roger Federer,Juan Martin Del Potro,SUI,ARG,70%,59%,12,5,0,2,86%,46%,75%,33%,204,209,188,192,159,151,64%,-,59%,17%,83,36,38,8,9,24,84%,45%
quarter,Andy Roddick,6-7(3) 6-4 6-2 2-1 ret.,2009,m,Andy Roddick,Novak Djokovic,USA,SRB,71%,62%,16,8,5,5,87%,63%,44%,48%,224,203,203,185,171,164,42%,100%,43%,25%,114,88,43,43,14,39,54%,50%
Final,Roger Federer,6-3 6-4 7-6(11),2010,m,Roger Federer,Andy Murray,SUI,GBR,66%,57%,11,10,2,4,72%,69%,61%,51%,209,214,191,196,153,151,33%,25%,37%,32%,116,100,46,29,42,36,72%,61%
semi,Roger Federer,6-2 6-3 6-2,2010,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,64%,56%,4,6,0,5,84%,69%,68%,39%,208,207,190,189,152,146,50%,-,41%,22%,85,54,33,21,13,27,73%,52%
semi,Andy Murray,3-6 6-4 6-4 6-2,2010,m,Andy Murray,Marin Cilic,GBR,CRO,63%,56%,5,6,1,6,76%,70%,57%,44%,207,205,183,189,148,148,31%,33%,39%,31%,125,106,40,35,29,54,69%,63%
quarter,Roger Federer,2-6 6-3 6-0 7-5,2010,m,Roger Federer,Nikolay Davydenko,SUI,RUS,60%,62%,9,1,4,4,67%,59%,49%,39%,209,207,189,176,150,150,57%,26%,47%,39%,125,104,35,35,43,50,68%,58%
quarter,Jo-Wilfried Tsonga,7-6(8) 6-7(5) 1-6 6-3 6-1,2010,m,Jo-Wilfried Tsonga,Novak Djokovic,FRA,SRB,64%,69%,19,2,2,9,68%,67%,48%,49%,215,199,193,186,150,155,67%,38%,36%,39%,158,155,54,41,55,55,59%,70%
quarter,Marin Cilic,7-6(4) 6-3 3-6 2-6 6-3,2010,m,Marin Cilic,Andy Roddick,CRO,USA,50%,63%,20,15,6,1,75%,69%,46%,52%,207,220,187,193,145,169,38%,38%,37%,38%,147,149,63,47,53,51,73%,54%
quarter,Andy Murray,6-3 7-6(2) 3-0 ret.,2010,m,Andy Murray,Rafael Nadal,GBR,ESP,59%,67%,13,1,1,1,77%,63%,45%,42%,216,199,193,175,152,143,40%,17%,44%,36%,94,75,38,23,25,26,79%,87%
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,SRB,GBR,67%,53%,6,6,0,4,70%,64%,60%,31%,208,216,192,194,0,0,39%,75%,51%,33%,106,78,26,21,33,47,64%,39%
